id,equipment_id,tenant_id,computed_at,health_index,iso_score,trend_score,correlation_score,uptime_score,crest_factor,kurtosis,drms_dt,iso_grade,vel_rms_avg,vel_rms_max,predicted_days_to_service,predicted_failure_mode,operating_hours,operating_state,notes,created_at,hi_iso_component,hi_trend_component,hi_correlation_component,hi_uptime_component
2896,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2025-12-14,61.9,,,,,1.312,1.666,,C,9.804,,,,,RUNNING,,2026-04-02 09:57:16.185742,71.3,0,100,89.2
2897,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2025-12-15,61.4,,,,,1.29,1.271,,C,9.489,,,,,RUNNING,,2026-04-02 09:57:16.191994,73.3,0,100,80.8
2898,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2025-12-16,61,,,,,1.216,1.924,,C,10.216,,,,,RUNNING,,2026-04-02 09:57:16.197488,69.7,0,100,87.8
2899,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2025-12-17,61.5,,,,,1.303,1.78,,C,10.184,,,,,RUNNING,,2026-04-02 09:57:16.202937,70,0,100,89.9
2900,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2025-12-18,60.6,,,,,1.319,1.512,,C,9.971,,,,,RUNNING,,2026-04-02 09:57:16.208299,71.3,0,100,80.8
2901,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2025-12-19,60.9,,,,,1.268,1.671,,C,9.92,,,,,RUNNING,,2026-04-02 09:57:16.214285,71,0,100,83.6
2902,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2025-12-20,30,,,,,,,,-,,,,,,PARTIAL,,2026-04-02 09:57:16.219088,,,,
2903,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2025-12-21,62.9,,,,,1.26,1.541,,C,10.01,,,,,RUNNING,,2026-04-02 09:57:25.856663,70.5,0,100,98.2
2904,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2025-12-22,61.6,,,,,1.299,1.511,,C,10.163,,,,,RUNNING,,2026-04-02 09:57:25.866662,70.7,0,100,88.5
2905,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2025-12-23,60.8,,,,,1.32,1.509,,C,10.125,,,,,RUNNING,,2026-04-02 09:57:25.875713,70.9,0,100,82.9
2906,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2025-12-24,60.3,,,,,1.312,1.556,,C,10.376,,,,,RUNNING,,2026-04-02 09:57:25.883749,70.1,0,100,81.5
2907,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2025-12-25,60.2,,,,,1.299,1.659,,C,10.518,,,,,RUNNING,,2026-04-02 09:57:25.895205,69.5,0,100,82.9
2908,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2025-12-26,60.3,,,,,1.275,1.461,,C,10.249,,,,,RUNNING,,2026-04-02 09:57:25.907251,70.7,0,100,80.1
2909,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2025-12-27,30,,,,,,,,-,,,,,,PARTIAL,,2026-04-02 09:57:25.913386,,,,
2910,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2025-12-28,60.9,,,,,1.32,1.247,,C,10.025,,,,,RUNNING,,2026-04-02 09:57:38.658681,72,0,100,80.8
2911,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2025-12-29,61.1,,,,,1.295,1.419,,C,10.265,,,,,RUNNING,,2026-04-02 09:57:38.66422,70.8,0,100,85
2912,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2025-12-30,30,,,,,,,,-,,,,,,PARTIAL,,2026-04-02 09:57:38.668875,,,,
2913,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2025-12-31,60.5,,,,,1.269,1.51,,C,10.428,,,,,RUNNING,,2026-04-02 09:57:50.556414,70.1,0,100,82.9
2914,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2026-01-01,60.8,,,,,1.324,1.393,,C,10.257,,,,,RUNNING,,2026-04-02 09:57:50.562374,70.8,0,100,82.9
2915,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2026-01-02,60.5,,,,,1.275,1.502,,C,10.408,,,,,RUNNING,,2026-04-02 09:57:50.567575,70.2,0,100,82.9
2916,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2026-01-03,60.7,,,,,1.259,1.51,,C,10.516,,,,,RUNNING,,2026-04-02 09:57:50.572842,69.8,0,100,85
2917,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2026-01-04,60.4,,,,,1.234,1.815,,C,10.797,,,,,RUNNING,,2026-04-02 09:57:50.580407,68.3,0,100,87.1
2918,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2026-01-05,60.3,,,,,1.254,1.658,,C,10.732,,,,,RUNNING,,2026-04-02 09:57:50.588441,68.9,0,100,85
2919,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2026-01-06,60.2,,,,,1.325,1.505,,C,10.748,,,,,RUNNING,,2026-04-02 09:57:50.594125,69.3,0,100,82.9
2920,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2026-01-07,30,,,,,,,,-,,,,,,OFFLINE,,2026-04-02 09:57:50.598984,,,,
2921,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2026-01-08,30,,,,,,,,-,,,,,,OFFLINE,,2026-04-02 09:58:00.200237,,,,
2922,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2026-01-09,30,,,,,,,,-,,,,,,OFFLINE,,2026-04-02 09:58:13.833208,,,,
2923,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2026-01-10,30,,,,,,,,-,,,,,,OFFLINE,,2026-04-02 09:58:27.597669,,,,
2924,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2026-01-11,30,,,,,,,,-,,,,,,PARTIAL,,2026-04-02 09:58:45.613042,,,,
2925,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2026-01-12,59.3,,,,,1.256,1.657,,C,11.11,,,,,RUNNING,,2026-04-02 09:58:53.442412,68,0,100,80.8
2926,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2026-01-13,77.7,,,,,1.061,3.891,,C,13.294,,,,,RUNNING,,2026-04-02 09:58:53.448031,55.1,82.5,100,100
2927,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2026-01-14,63.8,,,,,1,3,,C,13.18,,,,,RUNNING,,2026-04-02 09:59:05.672331,55.5,80,100,10.7
2928,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2026-01-15,76.5,,,,,1.087,4.494,,C,13.282,,,,,RUNNING,,2026-04-02 09:59:06.254714,55.2,81.5,95.1,100
2929,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2026-01-16,76.7,,,,,1.066,2.238,,C,13.395,,,,,RUNNING,,2026-04-02 09:59:24.081708,54.8,79,100,100
2930,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2026-01-17,74.7,,,,,1.062,4.358,,C,13.205,,,,,RUNNING,,2026-04-02 09:59:35.318864,55.4,73.2,96.4,100
2931,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2026-01-18,74.8,,,,,1.096,3.709,,C,13.483,,,,,RUNNING,,2026-04-02 09:59:35.324539,54.5,72.1,100,100
2475,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2025-04-21,90,,,,,1.116,2.425,,B,5.124,,,,,RUNNING,,2026-04-02 07:10:42.602319,86.5,81.5,100,100
2477,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2025-04-22,89.9,,,,,1.131,2.175,,B,5.254,,,,,RUNNING,,2026-04-02 07:10:56.167181,85.8,82.5,100,100
2479,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2025-04-23,87.7,,,,,1.097,2.467,,B,5.169,,,,,RUNNING,,2026-04-02 07:10:56.212941,86.3,72.7,100,100
2483,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2025-04-24,89.2,,,,,1.152,3.778,,B,5.254,,,,,RUNNING,,2026-04-02 07:10:56.261979,85.8,79.3,100,100
2485,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2025-04-25,30,,,,,,,,-,,,,,,PARTIAL,,2026-04-02 07:10:56.310074,,,,
2490,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2025-04-26,30,,,,,,,,-,,,,,,OFFLINE,,2026-04-02 07:11:20.214921,,,,
